FIPS,Admin2,Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,Combined_Key
,,,Slovakia,2020-04-03 22:46:20,48.669,19.699,450,1,10,439,Slovakia
,,,Slovenia,2020-04-03 22:46:20,46.1512,14.9955,934,20,70,844,Slovenia
,,,Somalia,2020-04-03 22:46:20,5.152149,46.199616,7,0,1,6,Somalia
,,,South Africa,2020-04-03 22:46:20,-30.5595,22.9375,1505,9,95,1401,South Africa
,,,Spain,2020-04-03 22:46:20,40.463667,-3.74922,119199,11198,30513,77488,Spain
,,,Sri Lanka,2020-04-03 22:46:20,7.873054,80.771797,159,4,24,131,Sri Lanka
,,,Sudan,2020-04-03 22:46:20,12.8628,30.2176,10,2,2,6,Sudan
,,,Suriname,2020-04-03 22:46:20,3.9193,-56.0278,10,1,0,9,Suriname
,,,Sweden,2020-04-03 22:46:20,60.128161,18.643501,6131,358,205,5568,Sweden
,,,Switzerland,2020-04-03 22:46:20,46.8182,8.2275,19606,591,4846,14169,Switzerland
,,,Syria,2020-04-03 22:46:20,34.802075,38.996815,16,2,0,14,Syria
,,,Taiwan*,2020-04-03 8:10:40,23.7,121,348,5,50,293,Taiwan*
,,,Tanzania,2020-04-03 22:46:20,-6.369028,34.888822,20,1,3,16,Tanzania
,,,Thailand,2020-04-03 22:46:20,15.870032,100.992541,1978,19,612,1347,Thailand
,,,Timor-Leste,2020-04-03 22:46:20,-8.874217,125.727539,1,0,0,1,Timor-Leste
,,,Togo,2020-04-03 22:46:20,8.6195,0.8248,40,3,17,20,Togo
,,,Trinidad and Tobago,2020-04-03 22:46:20,10.6918,-61.2225,98,6,1,91,Trinidad and Tobago
,,,Tunisia,2020-04-03 22:46:20,33.886917,9.537499,495,18,5,472,Tunisia
,,,Turkey,2020-04-03 22:46:20,38.9637,35.2433,20921,425,484,20012,Turkey
,,,Uganda,2020-04-03 22:46:20,1.373333,32.290275,48,0,0,48,Uganda
,,,Ukraine,2020-04-03 22:46:20,48.3794,31.1656,1072,27,22,1023,Ukraine
,,,United Arab Emirates,2020-04-03 22:46:20,23.424076,53.847818,1264,9,108,1147,United Arab Emirates
,,,United Kingdom,2020-04-03 22:46:20,55.3781,-3.436,38168,3605,135,34428,United Kingdom
,,,Uruguay,2020-04-03 22:46:20,-32.5228,-55.7658,369,4,68,297,Uruguay
,,,Uzbekistan,2020-04-03 22:46:20,41.377491,64.585262,227,2,25,200,Uzbekistan
,,,Venezuela,2020-04-03 22:46:20,6.4238,-66.5897,153,7,52,94,Venezuela
,,,Vietnam,2020-04-03 22:46:20,14.058324,108.277199,237,0,85,152,Vietnam
,,,West Bank and Gaza,2020-04-03 22:46:20,31.9522,35.2332,194,1,21,172,West Bank and Gaza
,,,Zambia,2020-04-03 22:46:20,-13.133897,27.849332,39,1,2,36,Zambia
,,,Zimbabwe,2020-04-03 22:46:20,-19.015438,29.154857,9,1,0,8,Zimbabwe
,,South Carolina,United States,2020-04-03 22:46:20,-19.015438,29.154857,1700,34,0,0,United States
,,Louisiana,United States,2020-04-03 22:46:20,-19.015438,29.154857,10297,370,0,0,United States
,,Virginia,United States,2020-04-03 22:46:20,-19.015438,29.154857,2012,46,0,0,United States
,,Idaho,United States,2020-04-03 22:46:20,-19.015438,29.154857,891,9,0,0,United States
,,Iowa,United States,2020-04-03 22:46:20,-19.015438,29.154857,699,11,0,0,United States
,,Missouri,United States,2020-04-03 22:46:20,-19.015438,29.154857,1864,25,0,0,United States
,,Oklahoma,United States,2020-04-03 22:46:20,-19.015438,29.154857,990,38,0,0,United States
,,Colorado,United States,2020-04-03 22:46:20,-19.015438,29.154857,3742,97,0,0,United States
,,Illinois,United States,2020-04-03 22:46:20,-19.015438,29.154857,8904,210,0,0,United States
,,Indiana,United States,2020-04-03 22:46:20,-19.015438,29.154857,3437,102,0,0,United States
,,Mississippi,United States,2020-04-03 22:46:20,-19.015438,29.154857,1358,29,0,0,United States
,,Nebraska,United States,2020-04-03 22:46:20,-19.015438,29.154857,279,6,0,0,United States
,,Pennsylvania,United States,2020-04-03 22:46:20,-19.015438,29.154857,8570,102,0,0,United States
,,Washington,United States,2020-04-03 22:46:20,-19.015438,29.154857,6846,291,0,0,United States
,,Wisconsin,United States,2020-04-03 22:46:20,-19.015438,29.154857,2012,51,0,0,United States
,,Vermont,United States,2020-04-03 22:46:20,-19.015438,29.154857,389,17,0,0,United States
,,Florida,United States,2020-04-03 22:46:20,-19.015438,29.154857,10268,170,0,0,United States
,,North Carolina,United States,2020-04-03 22:46:20,-19.015438,29.154857,2251,27,0,0,United States
,,California,United States,2020-04-03 22:46:20,-19.015438,29.154857,12004,265,0,0,United States
,,New York,United States,2020-04-03 22:46:20,-19.015438,29.154857,102987,2935,0,0,United States
